NAME	ADDRESS	DISTRICT	NUMBER	CATEGORY	COMMENTS	USED IN CASE	
Aylward, Phillip	55SW	SW	55				
Bachmann, Rolph	83SE	SE	83				
Bacmeister, Ernst	5EC	EC	5				
Bacon & Co	20WC	WC	20				
Baedecker’s Excursions	54WC	WC	54				
Bagatelle Card Club	14NW	NW	14				
Bagby, Riff	65SE	SE	65				
Bagley, Ronda	80SE	SE	80				
Bagnell, Fergus	39S	S	39				
Bagwell, Georgina	13S	S	13				
Bailey, Francis	43NW	NW	43				
Baily, Joanna	18EC	EC	18			6	
Bain, Sandy	54WC	WC	54				
Baines, William	64SE	SE	64				
Baird, Jane	83EC	EC	83				
Bake, Floyd	26S	S	26				
Baker, Ellis	49SW	SW	49				
Baker, Roger	50SW	SW	50			2	
Bakersfield, Woodward	6NW	NW	6		Listed as 21NW under BARRISTERS (office)		
Balderee, Clayton	64SE	SE	64				
Baldridge, W	51WC	WC	51				
Baldwin & Furth	22S	S	22				
Baldwin Card Club	88SW	SW	88				
Balfour, M	50SW	SW	50				
Balladone, Emilio	50S	S	50				
Ballard, Eve	20S	S	20				
Ballard, P.B	97EC	EC	97				
Balmoral, Lord	1SW	SW	1				
Baltrip & Castle	27E	E	27				
Bancroft, De Witt	20SW	SW	20				
Banducci & Sons	17E	E	17				
Bank of England	23EC	EC	23	BANKS	No crossreferece		
Capital & Counties	75NW	NW	75	BANKS			
City & Suburban	72EC	EC	72	BANKS			
Continental Bank	68WC	WC	68	BANKS			
Cox & Co	22WC	WC	22	BANKS	"Cox & Co. Bank"		
Credit Lyonnais	60SW	SW	60	BANKS			
Drummond’s Bank	26WC	WC	26	BANKS			
Holder & Stevenson	69EC	EC	69	BANKS			
Sylvester’s	84EC	EC	84	BANKS			
Worthingdon Bank	67NW	NW	67	BANKS			
Banks, James	7SW	SW	7				
Bannerjee, Mohandas	48NW	NW	48				
Bannister, Ward	4S	S	4				
Bansmer, Horst	16S	S	16				
Bar of Gold	33SE	SE	33				
Barbour, Regina	59SE	SE	59				
Barfield, Obee	17NW	NW	17				
Barford & Criwell	39E	E	39				
Barkell, Trudy	41SE	SE	41				
Barker’s Detective Agency	66WC	WC	66				
Barker, George	22SE	SE	22				
Barksdale, Frederick	15SW	SW	15				
Barnard, Seth	30E	E	30				
Barnett, A.R	55EC	EC	55				
Barnett, Richard	1SE	SE	1				
Barnicot, Dr. S	58WC	WC	58				
Baron, Sid	43S	S	43				
Baroni, Stefano	32E	E	32		Italian		
Barraud & Lunds	16EC	EC	16		(Watchmakers)		
Barrett, Deborah	2E	E	2				
Barrett, Michael	8SE	SE	8				
Attard, Charles	34EC	EC	34	BARRISTERS	Listed as 12WC under name (home)	6	
Bakersfield, Woodward	21NW	NW	21	BARRISTERS	Listed as 6NW under name (home)		
Faversham, F.V	32WC	WC	32	BARRISTERS	Listed as 23NW under name (home)		
Hall, Edward	36EC	EC	36	BARRISTERS			
Krantz, Herbert	72WC	WC	72	BARRISTERS	Listed as 2NW under name (home)		
Mason, Cecil	92EC	EC	92	BARRISTERS	Listed as 50SW under name (home)		
Nast, Flavius	29EC	EC	29	BARRISTERS	Listed as 51WC under name (home)		
Robarts, Wilfrid	37WC	WC	37	BARRISTERS	Listed as 29NW under name (home)		
Truax, Robert	34EC	EC	34	BARRISTERS	Listed as 39NW under name (home)		
Barrow, Marsha	7WC	WC	7				
Barstad, Susan	68SE	SE	68				
Barton, Inspector	51SE	SE	51				
Bashford, John	13S	S	13				
Baskind, Edward	60SW	SW	60				
Bateman, Leah	42S	S	42				
Bateman, S	1NW	NW	1				
Bates, Lucy	6E	E	6				
Bell’s Baths	11EC	EC	11	BATHS			
Chelsea Baths	29SW	SW	29	BATHS			
Crown Swimming Baths	20SE	SE	20	BATHS			
Haley’s	57WC	WC	57	BATHS	Bug? Listed as 47WC under name.		
Nevill’s Turkish Baths	92WC	WC	92	BATHS			
St. George’s Baths	28NW	NW	28	BATHS			
Batik, Vera	13E	E	13				
Battaglini, Cicero	18E	E	18				
Battersby, Abner	18S	S	18				
Battino, Giovanni	29E	E	29				
Baumgartner, Rachel	19E	E	19				
Baxter, Edith	67SE	SE	67				
Baxter, Lillian	31SE	SE	31				
Bayard, Charles	1E	E	1				
Bayliss Cycles	92EC	EC	92		(Cycles)		
Bayol, Clotilda	25SW	SW	25				
Beaudoin, Constance	26SW	SW	26				
Beaufort House	7NW	NW	7				
Beaufort, Harrison	82SE	SE	82		Listed as 23WC under DENTISTS (office)		
Beaupre, Ambroise	52SW	SW	52				
Becker, Dennis	10E	E	10				
Becker, Matthew	56SW	SW	56				
Beckwith, Lawrence	57SE	SE	57				
Beddington, A	78SE	SE	78				
Beddington, H	74SE	SE	74				
Bedford Women’s College	44NW	NW	44				
Bedinaric, Charles	85SE	SE	85				
Beedle & Smith, Ltd	13E	E	13				
Beemer, Arthur	3E	E	3				
Belanger, Nora	20E	E	20				
Bell, Dean	39SE	SE	39				
Bell’s Baths	11EC	EC	11				
Bellamy, Maud	49NW	NW	49				
Bellamy, William	49NW	NW	49				
Bellinger, Lord	1SW	SW	1				
Belminster, Duke of	68SW	SW	68				
Belton, Frank	14E	E	14				
Benares Metal Works	87SE	SE	87				
Benedict, Sir Julius	27NW	NW	27				
Benjamin, Asa	37S	S	37				
Bennett, Jeremy	27SE	SE	27				
Benson & Hedges	16NW	NW	16				
Bentley, Lynn	17E	E	17				
Bentley’s Private Hotel	32WC	WC	32				
Beresford, Tipton	25E	E	25				
Bergman & Berkowitz	88E	E	88				
Berisov, Dimitri	25E	E	25		Russian		
Bernet, Antoine	39E	E	39				
Bernhardt, Sarah	3SW	SW	3		https://en.wikipedia.org/wiki/Sarah_Bernhardt		
Berstein, Caleb	7S	S	7				
Bertain, Lucille	25S	S	25				
Bertero, Adriano	1S	S	1				
Bestianelli, Dr	50EC	EC	50		Listed as 39EC under DOCTORS (office)		
Bethlehem Lunatic Asylum	28SE	SE	28				
Bettencourt, Graham	69SE	SE	69				
Betteridge, Peter	53SW	SW	53				
Bexton, Wooster & Sons	3S	S	3				
Bhave, Vinoba	56EC	EC	56				
Bickel, Sharon	27E	E	27				
Bickers & Son	7SW	SW	7				
Biderman, Jotham	2S	S	2				
Bigelow, Byron	19NW	NW	19				
Billson & Tromp	89E	E	89				
Billy	52NW	NW	52		?		
Birch, Lucy	79SE	SE	79				
Birnbaum, Ebenezer	45S	S	45				
Bishop’s Finger Inn	18EC	EC	18				
Black Crown	88EC	EC	88				
Blake, Juliana	14SE	SE	14				
Blake, Ned	14SE	SE	14				
Bloggs Lines	25E	E	25				
Bloggs, Algernon	42SW	SW	42				
Bloggs, Cuthbert	49SW	SW	49				
Blue Ball Inn	50E	E	50				
Blue, Violette	49EC	EC	49			6	
Blumberg, Esther	32S	S	32				
Beaufort House	7NW	NW	7	BOARDINGHOUSES			
Borough, The	86SE	SE	86	BOARDINGHOUSES			
Calvin House	7E	E	7	BOARDINGHOUSES			
Dover Rooms	11SE	SE	11	BOARDINGHOUSES			
Kent House	7WC	WC	7	BOARDINGHOUSES			
Knaresborough House	30SE	SE	30	BOARDINGHOUSES			
Madame Charpentier	59SE	SE	59	BOARDINGHOUSES			
Mrs. Cory’s	25SE	SE	25	BOARDINGHOUSES			
Mrs. Hawgood’s	7EC	EC	7	BOARDINGHOUSES			
Mrs. Jetley’s	7SE	SE	7	BOARDINGHOUSES			
Mrs. Warren’s	76WC	WC	76	BOARDINGHOUSES			
Pirlot House	23S	S	23	BOARDINGHOUSES			
Boissiere, Gilbert	19NW	NW	19				
Boland, Denny	16NW	NW	16				
Bolton, Willie	72SE	SE	72				
Bon Marche	81NW	NW	81				
Bonham’s	12NW	NW	12				
Gilbert & Field	41EC	EC	41	BOOKSELLERS			
Hatchard’s	63NW	NW	63	BOOKSELLERS			
J. & E. Bumpus	12NW	NW	12	BOOKSELLERS			
Sotheran & Co	72WC	WC	72	BOOKSELLERS			
Dobell	66WC	WC	66	BOOKSELLERS-USED & RARE			
Pickering & Chatto	86SW	SW	86	BOOKSELLERS-USED & RARE			
Quaritch	66NW	NW	66	BOOKSELLERS-USED & RARE			
Steven’s	63WC	WC	63	BOOKSELLERS-USED & RARE			
Boone, Hugh	21EC	EC	21				
Boosey & Co	4WC	WC	4				
Boothe, Simon	55WC	WC	55				
Borough, The	86SE	SE	86				
Bow Street Police Station	70WC	WC	70				
Bowen, Kildare	38SW	SW	38				
Bradley, Sherman	14NW	NW	14				
Bradley’s	54NW	NW	54				
Bradstreet, Inspector	50NW	NW	50				
Brandon, Sir Miller	51NW	NW	51				
Breckenridge, M	56WC	WC	56		Probably "Breckinridge" (i instead of e), from the Canon		
Brickfall & Amberley	79WC	WC	79				
Bridge House Hotel	3SE	SE	3				
Breitkopf & Haertel	5SE	SE	5				
Briggs, S	52NW	NW	52				
British Museum	38WC	WC	38				
British Museum Library	38WC	WC	38				
Broderick & Nelson’s	2WC	WC	2				
Brokstein, Murray	46S	S	46				
Brooke, Stella	58WC	WC	58				
Brougham, Hale	69SW	SW	69				
Broussard, Louis	15E	E	15				
Brown, Inspector	50WC	WC	50				
Brown, Mabel	40NW	NW	40			6	
Brown, Sam	40NW	NW	40				
Browne, Katharine	15NW	NW	15				
Browne, Walter	40SW	SW	40				
Bruce, Henry Brudenell	46SW	SW	46				
Bruce-Partington, A	2NW	NW	2				
Bruff, Cuthbert	81EC	EC	81				
Bryant, Matthew	29EC	EC	29				
Buchanan, J	3WC	WC	3				
Buckingham Palace	35SW	SW	35				
Buckingham Palace Grdns	96SW	SW	96				
Burham, John	43SE	SE	43				
Burham, Sally	53NW	NW	53				
Burke, James	94NW	NW	94				
Burns, Stephen	44WC	WC	44				
Burnwell, Sir George	46SW	SW	46				
Buszard’s Tea Room	84NW	NW	84				
Buxton, Phillip	6NW	NW	6				
C. Smith & Son	67EC	EC	67		"C. Smith & Sons"		
Cabot, Carson	53SW	SW	53			8	
Cadbury Bros	76SE	SE	76				
Cade, Longfellow	96EC	EC	96				
Cadmer, Elizabeth	82EC	EC	82				
Cadwell, Samuel	63SW	SW	63				
Cafe Monico	90NW	NW	90		(Restaurants)		
Cafe Royal	82NW	NW	82		Bug? Listed as 82SW under RESTAURANTS.		
Cairns, Patrick	17E	E	17				
Calder, Maxine	49EC	EC	49				
Calendar, Maria	54NW	NW	54				
Callison, Nancy	85EC	EC	85				
Calvin House	7E	E	7				
Camden House	53NW	NW	53				
Cameron, Mark	44EC	EC	44				
Cameron, Veronica	88EC	EC	88				
Cammack, Waldo	58SW	SW	58				
Camp, Richard	23NW	NW	23			1	
Canaday, Calvern	71SW	SW	71				
Canetti, Gabriel	4S	S	4				
Cantlemere, Lord	55SW	SW	55				
Cantor, Daniel	44S	S	44				
Capellino, Antonio	5S	S	5				
Capital & Counties Bank	75NW	NW	75				
Caplan, Jeremiah	35S	S	35				
Carbone & Co	8S	S	8				
Cardiff, Gregory	50SW	SW	50			1	
Cardinal & Hartford	11WC	WC	11				
Cardinelli, Homero	79E	E	79				
Cardus, Neville	40NW	NW	40				
Cardwell, Bart	15NW	NW	15				
Carere, Semone	54EC	EC	54				
Carey, Patricia	29NW	NW	29				
Carina	73WC	WC	73		?		
Carleton, The	7SW	SW	7				
Carleton, Lloyd	42SW	SW	42				
Carley, Chester	8SE	SE	8			1	
Carlin	7SW	SW	7		(Tobacconist)		
Carlisle, John	71SW	SW	71				
Carlstad, Nick	23S	S	23				
Carmack, Gene	21EC	EC	21				
Carmody, Roy	45E	E	45				
Caro, Elaine	57EC	EC	57				
Carpenter, Sylvia	27SE	SE	27			3	
Cardinal & Hartford	11WC	WC	11	CARPETS			
Gregory & Company	79NW	NW	79	CARPETS			
Shoolbred & Co	61WC	WC	61	CARPETS			
Sidley & Sons	32SE	SE	32	CARPETS	Listed as "Sidley & Son" under the name.		
Carr, Sarah	95EC	EC	95				
Carr, William	95EC	EC	95				
Carrell, Milly	40S	S	40				
Carriage Stables	5WC	WC	5				
Carrington & Co	33WC	WC	33				
Carroll, Alice	46WC	WC	46				
Carroll, Lewis	55NW	NW	55		https://en.wikipedia.org/wiki/Lewis_Carroll		
Carruthers, Colonel	40EC	EC	40				
Cartan, James	60WC	WC	60				
Carter, Eliza	36SE	SE	36				
Cartwright, Able	79SE	SE	79				
Cartwright, Ben	6NW	NW	6				
Cartwright, Fay	32NW	NW	32			9	
Cartwright, Thomas	61WC	WC	61				
Cartwright, Whitney	32NW	NW	32		Listed as 29WC under SOLICITORS (office)	9	
Carvalho, Maria de	58EC	EC	58				
Carver, George W	40SE	SE	40				
Case, Herbert	94EC	EC	94				
Casey, S	9WC	WC	9				
Cassel, Fred	44SE	SE	44				
Casselman & Co	52E	E	52				
Castain, Ronda	20NW	NW	20				
Castleberry & Pomfret	45S	S	45				
Catlin, Dick	16S	S	16				
Catton, Brice	36S	S	36				
Cavalli, Rosalba	12S	S	12				
Cavendish Club	25NW	NW	25				
Caverly, Meg	1S	S	1				
Cavill, Minnie	11SE	SE	11			4	
Caxton, Lee	15SE	SE	15				
Caywood, Dunston	22NW	NW	22				
Central Carriage Stables	5WC	WC	5				
Central News Agency	63EC	EC	63				
Central Press Syndicate	25EC	EC	25				
Cernac, Claude	69SW	SW	69		French		
Cevallos, Anita	7S	S	7				
Chabot, Adrian	82E	E	82				
Chadbourne, Jeffrey	21S	S	21				
Chaffe, Maria	62WC	WC	62				
Chalmers, Alice	67SW	SW	67				
Chambers, Ralph	8WC	WC	8			7	
Chan, Charles	56NW	NW	56				
Chandos, Sir Charles	64SW	SW	64				
Chapman, Roger	29WC	WC	29				
Chappell, Andre	32NW	NW	32				
Chardon, Louis	80SE	SE	80		French		
Charing Cross Hospital	91WC	WC	91		(Hospitals)		
Charing Cross Hotel	90WC	WC	90		(Hotels)		
Charing Cross Station	21WC	WC	21				
Indigent Blind Vis. Soc	11WC	WC	11	CHARITIES	"Indigent Blind Visiting Society" See: http://www.ucl.ac.uk/bloomsbury-project/institutions/blind_indigent.htm		
Invalid Ladies Est	92NW	NW	92	CHARITIES			
London Homeopathic	9WC	WC	9	CHARITIES			
Salvation Army	69EC	EC	69	CHARITIES			
Salvation Army Hostel	42SE	SE	42	CHARITIES			
Seamen’s	10S	S	10	CHARITIES	Listed as "Seaman’s" under the name		
Vegetarian Society	38E	E	38	CHARITIES			
Watt Street Mission	88EC	EC	88	CHARITIES			
Charter House	45EC	EC	45				
Charpentier, Alice	59SE	SE	59				
Charpentier, Arthur	59SE	SE	59				
Charpentier, M	59SE	SE	59				
Chas. Frodsham & Co	38NW	NW	38		(Watchmakers)		
Chaudet, Gaspar	30NW	NW	30		French		
Chelsea Baths	29SW	SW	29				
Chelsea Hospital	45SW	SW	45				
Ambrecht & Co	32NW	NW	32	CHEMISTS			
Gould & Son	68EC	EC	68	CHEMISTS			
J. J. Goldstein & Son	41E	E	41	CHEMISTS			
John Taylor, Chemist	72NW	NW	72	CHEMISTS		9	
Keene & Ashwell	87SW	SW	87	CHEMISTS			
Leath & Ross	85SE	SE	85	CHEMISTS			
Squire & Sons	66WC	WC	66	CHEMISTS			
Chester, Mudd & Sons	65E	E	65				
Childess, R	59EC	EC	59				
China Legation	38NW	NW	38				
Christie’s	87SW	SW	87				
Jesuit Church	69EC	EC	69	CHURCHES	Jesuit/Catholic		
St. George’s Church	81NW	NW	81	CHURCHES	Anglican		
St. Mary’s Church	19EC	EC	19	CHURCHES	Anglican		
St. Patrick’s	57E	E	57	CHURCHES	Catholic		
St. Paul’s Cathedral	28EC	EC	28	CHURCHES	Anglican		
St. Savior’s	2WC	WC	2	CHURCHES	"St. Savior’s Church"		
Scottish National	51EC	EC	51	CHURCHES	Protestant/Presbyterian		
Unity Church	31E	E	31	CHURCHES	Unitarian		
Welsh Calvinist	11WC	WC	11	CHURCHES	"Welsh Calvinist Church"		
Westminster Abbey	17SW	SW	17	CHURCHES	Anglican		
Westminster Chapel	88SW	SW	88	CHURCHES			
Cisneros, Maria	28E	E	28				
City & Suburban Bank	72EC	EC	72				
Civil Service Supply Assoc	34EC	EC	34				
Clack, Hilda	52SW	SW	52				
Clapp, Nina	10E	E	10				
Clarendon, Sir Francis	31SW	SW	31			2	
Clarendon, Lady Gertrude	31SW	SW	31				
Clarendon, Guy	31SW	SW	31				
Claridge’s Hotel	30NW	NW	30				
Clay, John	46EC	EC	46				
Clement, Maris	40S	S	40				
Clepper, Agnes	63SW	SW	63				
Cloyd, John	25NW	NW	25				
Anglo-Indian	67WC	WC	67	CLUBS			
Bagatelle Card Club	14NW	NW	14	CLUBS			
Baldwin Card Club	88SW	SW	88	CLUBS			
Carleton	7SW	SW	7	CLUBS			
Cavendish, The	25NW	NW	25	CLUBS			
Diogenes Club	8SW	SW	8	CLUBS			
Irish Social Club	8SE	SE	8	CLUBS			
Russian Social Club	7SE	SE	7	CLUBS			
Societies	2SW	SW	2	CLUBS	"Societies Club"		
Tankerville	34WC	WC	34	CLUBS	"Tankerville Club"		
West End Social Club	12WC	WC	12	CLUBS			
Cobay, Ltd	6NW	NW	6				
Cobbett, Wentworth	7NW	NW	7			8	
Cobham, L	63WC	WC	63				
Cockrell, James	5S	S	5				
Cadbury Bros	76SE	SE	76	COCOA MANUFACTURERS			
Epps	76NW	NW	76	COCOA MANUFACTURERS			
Fry & Sons, J.S.	95EC	EC	95	COCOA MANUFACTURERS			
Coddington, Jim	22E	E	22				
Cody, Scott	28E	E	28				
Coffey, Eddy	18E	E	18				
Cohen, Abram	57E	E	57				
Cohen, Martha	57E	E	57				
Coin, Gertrude	86SE	SE	86				
Coker, Harney	19S	S	19				
Cole, Sir Henry	77EC	EC	77				
Cole, Matthew	11SE	SE	11			10	
Colombo, Philip	26E	E	26				
Colonial Institute	86SW	SW	86				
Colt’s Fire Arms Co	12NW	NW	12				
Commercial Docks	66S	S	66				
Commercial Gas Works	51E	E	51				
Co. Gen. Transatlantique	27S	S	27				
Compton, Sylvester	35NW	NW	35				
Comstock, Clayton	51SW	SW	51				
Confer, Janet	55SW	SW	55				
Continental Bank	68WC	WC	68				
Continental Gazetter	69WC	WC	69				
Continental Wire Service	87NW	NW	87				
Cook, T. Failor	4WC	WC	4				
Cook’s Billiard Rooms	8SW	SW	8				
Copple, Berney	52S	S	52				
Corbett, Andrew	9S	S	9				
Corbett, Lil	39S	S	39				
Corbyn, Stacey & Co	48EC	EC	48				
Coroner	91EC	EC	91	CORONER’S OFFICE	No matching crossreference.		
Medical Examiner	38EC	EC	38	CORONER’S OFFICE			
Corrigan, Sean	37NW	NW	37				
Corson & Filch	56E	E	56				
Cosgrove, Homer	24NW	NW	24				
Covent Garden Market	28WC	WC	28				
Covent Garden Theatre	30WC	WC	30				
Cowper, Edward	100SW	SW	100				
Cox & Co. Bank	22WC	WC	22				
Crabb, Jack	36NW	NW	36				
Crabtree, Cyrus	55E	E	55				
Crain, Ellie	47E	E	47				
Cranmer, T	21EC	EC	21				
Credit Lyonnais	60SW	SW	60				
Crenshaw, Verlon	56E	E	56				
Cressman, Hannah	14E	E	14				
Criminal Court	36EC	EC	36				
Criminology Laboratory	22SW	SW	22				
Cristobol, Veronica	43E	E	43				
Criterion, The	3SW	SW	3				
Crocker, Harrison	59E	E	59				
Crofton, Riply	38NW	NW	38				
Croquet Association	41SW	SW	41				
Crowe & Rowell	74E	E	74				
Crown Inn	83NW	NW	83				
Crown Swimming Baths	20SE	SE	20				
Crowther, Michael	3E	E	3				
Cruden, Denise	60E	E	60				
Cubitt, Sir William	100SW	SW	100				
Cullinane, Kitty	69SW	SW	69				
Culpepper, Waldo	44NW	NW	44				
Cummins & Goins	6SE	SE	6				
Cunard Line Office	83EC	EC	83				
Cunningham, Charles	57NW	NW	57		Listed as 78WC under SOLICITORS (office)		
Cushing, P	60EC	EC	60				
Customs House	19EC	EC	19				
Cutter, Jake	84E	E	84				
Bayliss Cycles	92EC	EC	92	CYCLES			
Swift Cycle Co	90EC	EC	90	CYCLES			
Cyclists’ Touring Club	75EC	EC	75		Corrected from "Cyclists Touring Club"		
Da Silva, Timoteo	44E	E	44				
Dabit, Esam	45SE	SE	45				
Dachauer, Rodney	47EC	EC	47				
Dacre Hotel	62EC	EC	62				
Daggett, Alice	48E	E	48				
Daggett, Casey	48E	E	48				
Dagit, Philip	53WC	WC	53		Listed as 75WC under SOLICITORS (office)		
Dagneau, Andre	58NW	NW	58				
Dahl, Antoine	50WC	WC	50				
Dahlin, Una	68SW	SW	68				
Dailey, Baker	2EC	EC	2				
Daily Chronicle	64EC	EC	64				
Daily Gazette	74WC	WC	74				
Daily News	71SE	SE	71				
Daily Telegraph	88NW	NW	88				
Dain, Irene	59WC	WC	59				
Dair, Virginia	64SW	SW	64				
Dakin & Co	94EC	EC	94				
Dalbak, Kurt	69E	E	69				
D’Albert, Count	60NW	NW	60				
D’Albert, Countess	60NW	NW	60				
